SKU_A,SKU_B,lag,Pearson_r,pair
ME6632L,ME6632M,-2,0.4696,ME6632L ↔ ME6632M
ME6632L,ME6632M,-1,0.6665,ME6632L ↔ ME6632M
ME6632L,ME6632M,0,0.9222,ME6632L ↔ ME6632M
ME6632L,ME6632M,1,-0.1377,ME6632L ↔ ME6632M
ME6632L,ME6632M,2,-0.1029,ME6632L ↔ ME6632M
ME6632L,ME6632M,3,-0.3168,ME6632L ↔ ME6632M
ME6632L,ME6632M,4,-0.3195,ME6632L ↔ ME6632M
ME6632L,ME6632M,5,-0.0629,ME6632L ↔ ME6632M
ME6632L,ME6632M,6,0.119,ME6632L ↔ ME6632M
AN16-650T9,PIP33-BLK125BPXS,-6,-0.0917,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-5,0.0131,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-4,-0.1435,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-3,-0.0718,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-2,-0.1533,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,-1,0.3101,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,0,0.9193,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,1,-0.0093,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,2,0.0462,AN16-650T9 ↔ PIP33-BLK125BPXS
AN16-650T9,PIP33-BLK125BPXS,3,-0.04,AN16-650T9 ↔ PIP33-BLK125BPXS
